# m  n  q  N(E)  status  B  lambda_min  H(E)  squares  #gens_found
57 44 1313/5016 1677734496438 CLOSED 34 8.9279450412725319718991205071448513507 9731.1570143757483533968067228413003651 0 2
57 46 1133/5244 38940049147461 CLOSED 39 6.7982833825232734303887820887658359905 10081.176313707357988224309370156503682 0 2
57 56 113/6384 3673931057538 CLOSED 33 9.7678709811626377561451364520967059893 10002.468445062285868140337614899837919 0 2
58 37 1995/4292 30913421646765 CLOSED 43 5.6095310644081637527873804699658097971 9897.8276393031534364209698567376582265 0 2
59 8 3417/944 621211016874 CLOSED 29 11.475073718772180019147606839913861785 9324.7082679812160590256491457370029408 0 2
60 11 3479/1320 1699314334410 CLOSED 50 3.8957492777959497373103881524802744521 9439.7247354145743773587269029882427802 0 2
61 10 3621/1220 37424972235 CLOSED 33 8.8587971640495578536798910249156585138 9090.1648103493190022815163650698773678 0 2
61 22 3237/2684 7111896242451 CLOSED 43 5.3010150138779140524837485128947345497 9525.2008056361991869188589359072991917 0 2
61 30 2821/3660 14035508854185 CLOSED 34 8.8099131408527381263005197251058084183 9691.4358992335735239215865235519761806 0 2
61 32 2697/3904 2621547794838 CLOSED 53 3.5347237845313117333556871302580334863 9575.2841600923153666072415574784923142 0 2
61 42 1957/5124 56218934870259 CLOSED 40 6.6150674843280952874624873219468382662 10099.380003961622313593901330643205538 0 2
61 56 585/6832 7716000853470 CLOSED 36 7.8613215119234665639385066425160649087 10130.929920532969097521692166345497849 0 2
62 29 3003/3596 10564473198279 CLOSED 45 4.7793126972386075872260010825085108682 9648.9137067568184761724626598952590817 0 2
62 33 2755/4092 25800550472235 CLOSED 48 4.4070843119803919573782501665668100377 9841.5729960333784234027767841104621636 0 2
62 37 2475/4588 2824464141345 CLOSED 40 6.3109872360187293299415157597697043394 9711.8935604049020734363978033346139799 0 2
62 39 2323/4836 50526633353469 CLOSED 36 7.8687774158600129345434094520419830601 10042.426740020244534480248577104283999 0 2
62 43 1995/5332 65021269957665 CLOSED 38 7.0284103577973259074432372752992483278 10145.758901280280468255176685628779451 0 2
62 59 363/7316 3222586195059 CLOSED 40 6.4991595848061034778355305003180259659 10098.375739537295783201759198258831574 0 2
63 4 3953/504 2552183715018 CLOSED 31 10.307160252807535718067183045750667197 9582.5810973836934625765621556585200629 0 2
63 22 3485/2772 3591455148435 CLOSED 42 5.3965812693640383961156996113771744350 9515.9365155686071293806018447747707363 0 2
63 34 2813/4284 10483961712567 CLOSED 37 7.4314111433770299442125881001631041031 9788.2007201937031455549468656368940616 0 2
63 52 1265/6552 28545167160510 CLOSED 53 3.7416974134769456857187090560803984407 10228.271376562554910752789200551170918 0 2
64 11 3975/1408 241679635890 CLOSED 58 2.8576919474856097547266558189092513007 9351.3119084152203640232994254554607216 0 2
64 33 3007/4224 1746490804674 CLOSED 43 5.3704180426062836569616876939887119572 9597.6932239266212848441265365932279393 0 2
65 12 4081/1560 22633939317990 CLOSED 53 3.5815662411076716147698715479479119671 9826.3250318703839183907997168486092106 0 2
65 28 3441/3640 4412388415890 CLOSED 41 5.8593269135219922995172097230057079018 9571.3348934730933205578655704073959533 0 2
65 32 3201/4160 2937544479870 CLOSED 60 2.7021044239494567563162108588975706777 9637.4757963410061362296867424434540378 0 2
65 36 2929/4680 15219406219290 CLOSED 44 5.1237315952131630404050551822361494923 9896.2019565707339562371247024251517083 0 2
65 42 2461/5460 896624780415 CLOSED 42 5.5336266194874841015275326740930136732 9736.3535856402870705803241919388446870 0 2
65 44 2289/5720 89945790264330 CLOSED 43 5.6135662777557612542489929222581570330 10234.402094937940030438194319534941165 0 2
65 54 1309/7020 12141693909345 CLOSED 41 6.1679349685387165539676834072880457272 10197.981439923270456807617944175401840 0 2
66 1 4355/132 2723198192715 CLOSED 55 3.3035575266250617572578215599098692480 9666.5467225955835687950182724820344283 0 2
66 53 1547/6996 125952658152321 CLOSED 40 6.7307139421822933113436581645494736859 10429.167791243432669139378973258955405 0 2
66 65 131/8580 20681018162805 CLOSED 52 3.8520148131053721237069936620782223841 10411.775093839106942754820280467767174 0 2
67 8 4425/1072 2185784588190 CLOSED 53 3.5285688738038144314106328948977412451 9657.3200418821968913393820279362000707 0 2
67 20 4089/2680 26129278657230 CLOSED 35 8.1457332326340745807427941366811080168 9842.2523352074080340102913831902976843 0 2
67 32 3465/4288 987543879630 CLOSED 48 4.3084567366226142365607219045555672151 9552.7092389807937444395534413275782474 0 2
67 44 2553/5896 106289407231854 CLOSED 51 4.0493126362245099062241196303431049284 10275.342221751708941202334902492970566 0 2
67 48 2185/6432 32145178989630 CLOSED 59 2.9461533497265516691559575600717390623 10225.361008857216794781089709592329505 0 2
68 9 4543/1224 8869519898778 CLOSED 51 3.8783338579117622002831148117548390891 9818.4384710454288014376276386392958943 0 2
68 33 3535/4488 30325779152130 CLOSED 49 4.1651210182641637154030538950691021988 9931.6318841441430809579226611607229031 0 2
68 39 3103/5304 76135357198446 CLOSED 35 8.3166977997806004895804679212956415938 10157.326614278153401855968886380463719 0 2
69 10 4661/1380 31872289691445 CLOSED 35 8.3492437565704258548540783934626307354 9966.8640457485871142547140958681824438 0 2
69 14 4565/1932 37718259011895 CLOSED 43 5.5603833880756923850483115513551396919 9967.0555761291032636163719047335229868 0 2
69 26 4085/3588 13973528686845 CLOSED 52 3.7404702814871945092655855774247295687 9778.8801905980019403022388561634740159 0 2
70 19 4539/2660 40830131788635 CLOSED 37 7.5088524103110438307991083291108983180 9970.4137468646812852065044918836395439 0 2
70 29 4059/4060 11149782105 CLOSED 41 5.4126638612268358746629616861384684965 9060.6191813275348810206596061535564574 0 2
70 33 3811/4620 30022616857695 CLOSED 36 7.8408354860519895020905109349340791712 9953.8171981417197741215699973996171222 0 2
70 37 3531/5180 65683480171155 CLOSED 49 4.2580470447252610783204618297766091298 10123.635124846874538950723019336170529 0 2
70 43 3051/6020 13740469190805 CLOSED 36 7.8029960614944480645775669178832950761 10087.410685636506408042831210243678689 0 2
70 69 139/9660 31318161416115 CLOSED 39 6.9750528974499616588208040390959666264 10548.121069979138411675608140950845751 0 2
71 44 3105/6248 15841468568310 CLOSED 58 3.1106298185658501614075087301181300494 10131.378574281928476134608992862679488 0 2
71 54 2125/7668 982786454895 CLOSED 43 5.4510868197592991223461245731541640515 10017.214652866462164914331687319723198 0 2
72 25 4559/3600 1070154266370 CLOSED 47 4.3703013325148717709945496797515108687 9609.7692569895366475549714851221098627 0 2
72 37 3815/5328 11715886737870 CLOSED 48 4.4003285236552523530063728151468442385 9973.7816575305419824954337345267880591 0 2
72 61 1463/8784 40169141920446 CLOSED 35 8.6586718097791036176642197448032452362 10496.961751286234610055204854144392068 0 2
73 14 5133/2044 58150441838139 CLOSED 23 20.342578893750388854210551336797531019 10104.161909359508655559873368571990364 0 2
